"Settings","Settings"
"General Settings","General Settings"
"Enabled","Enabled"
"Send test mail now","Send test mail now"
"If enabled, overrides standart SMTP settings","If enabled, overrides standart SMTP settings"
"Sender of test mail is general contact of your store","Sender of test mail is general contact of your store"
"Recipient of test mail","Recipient of test mail"
"API settings","API settings"
"API Key","API Key"
"Secret Key","Secret Key"
"Try again later","Try again later"
"Add contacts to Mailjet list failed","Add contacts to Mailjet list failed"
"OK","OK"
"Remove contacts from Mailjet list failed","Remove contacts from Mailjet list failed"
"Create contacts problem","Create contacts problem"
"Batchjob problem","Batchjob problem"
"Your Mailjet configuration is ok!","Your Mailjet configuration is ok!"
"Your test mail from Mailjet","Your test mail from Mailjet"
"Please contact Mailjet support to sort this out.","Please contact Mailjet support to sort this out."
"Please verify that you have entered your API and secret key correctly. <br />If this is the case and you have still this error message, please go to Account API keys (<a href='https://www.mailjet.com/account/api_keys'>https://www.mailjet.com/account/api_keys</a>) to regenerate a new Secret Key for the plug-in.", "Please verify that you have entered your API and secret key correctly. <br />If this is the case and you have still this error message, please go to Account API keys (<a href='https://www.mailjet.com/account/api_keys'>https://www.mailjet.com/account/api_keys</a>) to regenerate a new Secret Key for the plug-in."
"<b>Please enter your Mailjet login information below (<a style='color:#FF6600;' href='https://app.mailjet.com/account/api_keys' target='_blank'>Mailjet API keys</a>)</b> <br />or<br /><strong><a style='color:#FF6600;' href='https://www.mailjet.com/signup?p=magento-3.0' target='_blank'>Create your Mailjet account</a> if you don't have any.</strong>","<b>Please enter your Mailjet login information below (<a style='color:#FF6600;' href='https://app.mailjet.com/account/api_keys' target='_blank'>Mailjet API keys</a>)</b> <br />or<br /><strong><a style='color:#FF6600;' href='https://www.mailjet.com/signup?p=magento-3.0' target='_blank'>Create your Mailjet account</a> if you don't have any.</strong>"